timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783550.572067,0000000000000003:1,0.000130,-0.000406,0.000091
1776783550.572096,0000000000000003:2,0.013080,0.001250,0.009531
1776783550.713054,0000000000000001:1,0.013358,0.001223,0.009718
1776783550.713093,0000000000000001:2,1.000000,0.007134,0.702140
1776783550.713112,0000000000000001:3,0.013180,0.001852,0.009782
1776783551.566423,0000000000000002:1,0.009133,-0.000752,0.006393
1776783551.566484,0000000000000002:2,0.999017,-0.000983,0.699312
1776783551.576914,0000000000000004:1,0.677581,-0.003087,0.474307
1776783551.576945,0000000000000004:2,0.009132,-0.000748,0.006392
1776783551.576962,0000000000000004:3,0.000037,-0.000087,0.000026
1776783551.578831,0000000000000003:1,0.000043,-0.000086,0.000030
1776783551.578874,0000000000000003:2,0.012188,-0.000892,0.008532
1776783551.738682,0000000000000001:1,0.012008,-0.001350,0.008405
